labels,label_descriptions,labels_2,labels_3,labels_4,labels_5
Ctx_8C_L,Area 8C (Left),Ctx_8C_L,,,Glasser2016+Petre2023_vol_proj
Ctx_44_L,Area 44 (Left),Ctx_44_L,,,Glasser2016+Petre2023_vol_proj
Ctx_45_L,Area 45 (Left),Ctx_45_L,,,Glasser2016+Petre2023_vol_proj
Ctx_47l_L,Area 47 lateral (Left),Ctx_47l_L,,,Glasser2016+Petre2023_vol_proj
Ctx_a47r_L,Area anterior 47r (Left),Ctx_a47r_L,,,Glasser2016+Petre2023_vol_proj
Ctx_6r_L,Rostral Area 6 (Left),Ctx_6r_L,,,Glasser2016+Petre2023_vol_proj
Ctx_IFJa_L,Area IF Ja (Left),Ctx_IFJa_L,,,Glasser2016+Petre2023_vol_proj
Ctx_IFJp_L,Area IF Jp (Left),Ctx_IFJp_L,,,Glasser2016+Petre2023_vol_proj
Ctx_IFSp_L,Area IF Sp (Left),Ctx_IFSp_L,,,Glasser2016+Petre2023_vol_proj
Ctx_IFSa_L,Area IFSa (Left),Ctx_IFSa_L,,,Glasser2016+Petre2023_vol_proj
Ctx_p9_46v_L,Area posterior 9-46v (Left),Ctx_p9_46v_L,,,Glasser2016+Petre2023_vol_proj
Ctx_46_L,Area 46 (Left),Ctx_46_L,,,Glasser2016+Petre2023_vol_proj
Ctx_a9_46v_L,Area anterior 9-46v (Left),Ctx_a9_46v_L,,,Glasser2016+Petre2023_vol_proj
Ctx_9_46d_L,Area 9-46d (Left),Ctx_9_46d_L,,,Glasser2016+Petre2023_vol_proj
Ctx_9a_L,Area 9 anterior (Left),Ctx_9a_L,,,Glasser2016+Petre2023_vol_proj
Ctx_10v_L,Area 10v (Left),Ctx_10v_L,,,Glasser2016+Petre2023_vol_proj
Ctx_a10p_L,Area anterior 10p (Left),Ctx_a10p_L,,,Glasser2016+Petre2023_vol_proj
Ctx_10pp_L,Polar 10p (Left),Ctx_10pp_L,,,Glasser2016+Petre2023_vol_proj
Ctx_11l_L,Area 11l (Left),Ctx_11l_L,,,Glasser2016+Petre2023_vol_proj
Ctx_13l_L,Area 13l (Left),Ctx_13l_L,,,Glasser2016+Petre2023_vol_proj
Ctx_OFC_L,Orbital Frontal Complex (Left),Ctx_OFC_L,,,Glasser2016+Petre2023_vol_proj
Ctx_47s_L,Area 47s (Left),Ctx_47s_L,,,Glasser2016+Petre2023_vol_proj
Ctx_LIPd_L,Area Lateral IntraParietal dorsal (Left),Ctx_LIPd_L,,,Glasser2016+Petre2023_vol_proj
Ctx_6a_L,Area 6 anterior (Left),Ctx_6a_L,,,Glasser2016+Petre2023_vol_proj
Ctx_i6_8_L,Inferior 6-8 Transitional Area (Left),Ctx_i6_8_L,,,Glasser2016+Petre2023_vol_proj
Ctx_s6_8_L,Superior 6-8 Transitional Area (Left),Ctx_s6_8_L,,,Glasser2016+Petre2023_vol_proj
Ctx_43_L,Area 43 (Left),Ctx_43_L,,,Glasser2016+Petre2023_vol_proj
Ctx_OP4_L,Area OP4/PV (Left),Ctx_OP4_L,,,Glasser2016+Petre2023_vol_proj
Ctx_OP1_L,Area OP1/SII (Left),Ctx_OP1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_OP2_3_L,Area OP2-3/VS (Left),Ctx_OP2_3_L,,,Glasser2016+Petre2023_vol_proj
Ctx_52_L,Area 52 (Left),Ctx_52_L,,,Glasser2016+Petre2023_vol_proj
Ctx_RI_L,RetroInsular Cortex (Left),Ctx_RI_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PFcm_L,Area Pfcm (Left),Ctx_PFcm_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PoI2_L,Posterior Insular Area 2 (Left),Ctx_PoI2_L,,,Glasser2016+Petre2023_vol_proj
Ctx_TA2_L,Area TA2 (Left),Ctx_TA2_L,,,Glasser2016+Petre2023_vol_proj
Ctx_FOP4_L,Frontal Opercular Area 4 (Left),Ctx_FOP4_L,,,Glasser2016+Petre2023_vol_proj
Ctx_MI_L,Middle Insular Area (Left),Ctx_MI_L,,,Glasser2016+Petre2023_vol_proj
Ctx_Pir_L,Pirform Cortex (Left),Ctx_Pir_L,,,Glasser2016+Petre2023_vol_proj
Ctx_AVI_L,Anterior Ventral Insular Area (Left),Ctx_AVI_L,,,Glasser2016+Petre2023_vol_proj
Ctx_AAIC_L,Anterior Agranular Insular Complex (Left),Ctx_AAIC_L,,,Glasser2016+Petre2023_vol_proj
Ctx_FOP1_L,Frontal Opercular Area 1 (Left),Ctx_FOP1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_FOP3_L,Frontal Opercular Area 3 (Left),Ctx_FOP3_L,,,Glasser2016+Petre2023_vol_proj
Ctx_FOP2_L,Frontal Opercular Area 2 (Left),Ctx_FOP2_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PFt_L,Area PFt (Left),Ctx_PFt_L,,,Glasser2016+Petre2023_vol_proj
Ctx_AIP_L,Anterior IntraParietal Area (Left),Ctx_AIP_L,,,Glasser2016+Petre2023_vol_proj
Ctx_EC_L,Entorhinal Cortex (Left),Ctx_EC_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PreS_L,PreSubiculum (Left),Ctx_PreS_L,,,Glasser2016+Petre2023_vol_proj
Ctx_ProS_L,Prostriate Area (Left),Ctx_ProS_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PeEc_L,Perirhinal Ectorhinal Cortex (Left),Ctx_PeEc_L,,,Glasser2016+Petre2023_vol_proj
Ctx_STGa_L,Area STGa (Left),Ctx_STGa_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PBelt_L,ParaBelt Complex (Left),Ctx_PBelt_L,,,Glasser2016+Petre2023_vol_proj
Ctx_A5_L,Auditory 5 Complex (Left),Ctx_A5_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PHA1_L,ParaHippocampal Area 1 (Left),Ctx_PHA1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PHA3_L,ParaHippocampal Area 3 (Left),Ctx_PHA3_L,,,Glasser2016+Petre2023_vol_proj
Ctx_STSda_L,Area STSd anterior (Left),Ctx_STSda_L,,,Glasser2016+Petre2023_vol_proj
Ctx_STSdp_L,Area STSd posterior (Left),Ctx_STSdp_L,,,Glasser2016+Petre2023_vol_proj
Ctx_STSvp_L,Area STSv posterior (Left),Ctx_STSvp_L,,,Glasser2016+Petre2023_vol_proj
Ctx_TGd_L,Area TG dorsal (Left),Ctx_TGd_L,,,Glasser2016+Petre2023_vol_proj
Ctx_TE1a_L,Area TE1 anterior (Left),Ctx_TE1a_L,,,Glasser2016+Petre2023_vol_proj
Ctx_TE1p_L,Area TE1 posterior (Left),Ctx_TE1p_L,,,Glasser2016+Petre2023_vol_proj
Ctx_TE2a_L,Area TE2 anterior (Left),Ctx_TE2a_L,,,Glasser2016+Petre2023_vol_proj
Ctx_TF_L,Area TF (Left),Ctx_TF_L,,,Glasser2016+Petre2023_vol_proj
Ctx_TE2p_L,Area TE2 posterior (Left),Ctx_TE2p_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PHT_L,Area PHT (Left),Ctx_PHT_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PH_L,Area PH (Left),Ctx_PH_L,,,Glasser2016+Petre2023_vol_proj
Ctx_TPOJ1_L,Area TemporoParietoOccipital Junction 1 (Left),Ctx_TPOJ1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_TPOJ2_L,Area TemporoParietoOccipital Junction 2 (Left),Ctx_TPOJ2_L,,,Glasser2016+Petre2023_vol_proj
Ctx_TPOJ3_L,Area TemporoParietoOccipital Junction 3 (Left),Ctx_TPOJ3_L,,,Glasser2016+Petre2023_vol_proj
Ctx_DVT_L,Dorsal Transitional Visual Area (Left),Ctx_DVT_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PGp_L,Area Pgp (Left),Ctx_PGp_L,,,Glasser2016+Petre2023_vol_proj
Ctx_IP2_L,Area IntraParietal 2 (Left),Ctx_IP2_L,,,Glasser2016+Petre2023_vol_proj
Ctx_IP1_L,Area IntraParietal 1 (Left),Ctx_IP1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_IP0_L,Area IntraParietal 0 (Left),Ctx_IP0_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PFop_L,Area PF Opercular (Left),Ctx_PFop_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PF_L,Area PF Complex (Left),Ctx_PF_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PFm_L,Area PFm Complex (Left),Ctx_PFm_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PGi_L,Are Pgi (Left),Ctx_PGi_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PGs_L,Area Pgs (Left),Ctx_PGs_L,,,Glasser2016+Petre2023_vol_proj
Ctx_V6A_L,Area V6A (Left),Ctx_V6A_L,,,Glasser2016+Petre2023_vol_proj
Ctx_VMV1_L,VentroMedial Visual Area 1 (Left),Ctx_VMV1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_VMV3_L,VentroMedial Visual Area 3 (Left),Ctx_VMV3_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PHA2_L,ParaHippocampal Area 2 (Left),Ctx_PHA2_L,,,Glasser2016+Petre2023_vol_proj
Ctx_V4t_L,Area V4t (Left),Ctx_V4t_L,,,Glasser2016+Petre2023_vol_proj
Ctx_FST_L,Area FST (Left),Ctx_FST_L,,,Glasser2016+Petre2023_vol_proj
Ctx_V3CD_L,Area v3CD (Left),Ctx_V3CD_L,,,Glasser2016+Petre2023_vol_proj
Ctx_LO3_L,Area Lateral Occipital 3 (Left),Ctx_LO3_L,,,Glasser2016+Petre2023_vol_proj
Ctx_VMV2_L,VentroMedial Visual Area 2 (Left),Ctx_VMV2_L,,,Glasser2016+Petre2023_vol_proj
Ctx_31pd_L,Area 31pd (Left),Ctx_31pd_L,,,Glasser2016+Petre2023_vol_proj
Ctx_31a_L,Area 31a (Left),Ctx_31a_L,,,Glasser2016+Petre2023_vol_proj
Ctx_VVC_L,Ventral Visual Complex (Left),Ctx_VVC_L,,,Glasser2016+Petre2023_vol_proj
Ctx_25_L,Area 25 (Left),Ctx_25_L,,,Glasser2016+Petre2023_vol_proj
Ctx_s32_L,Area s32 (Left),Ctx_s32_L,,,Glasser2016+Petre2023_vol_proj
Ctx_pOFC_L,posterior OFC Complex (Left),Ctx_pOFC_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PoI1_L,Area Posterior Insular 1 (Left),Ctx_PoI1_L,,,Glasser2016+Petre2023_vol_proj
Ctx_Ig_L,Insular Granular Complex (Left),Ctx_Ig_L,,,Glasser2016+Petre2023_vol_proj
Ctx_FOP5_L,Area Frontal Opercular 5 (Left),Ctx_FOP5_L,,,Glasser2016+Petre2023_vol_proj
Ctx_p10p_L,Area posterior 10p (Left),Ctx_p10p_L,,,Glasser2016+Petre2023_vol_proj
Ctx_p47r_L,Area posterior 47r (Left),Ctx_p47r_L,,,Glasser2016+Petre2023_vol_proj
Ctx_TGv_L,Area TG Ventral (Left),Ctx_TGv_L,,,Glasser2016+Petre2023_vol_proj
Ctx_MBelt_L,Medial Belt Complex (Left),Ctx_MBelt_L,,,Glasser2016+Petre2023_vol_proj
Ctx_LBelt_L,Lateral Belt Complex (Left),Ctx_LBelt_L,,,Glasser2016+Petre2023_vol_proj
Ctx_A4_L,Auditory 4 Complex (Left),Ctx_A4_L,,,Glasser2016+Petre2023_vol_proj
Ctx_STSva_L,Area STSv anterior (Left),Ctx_STSva_L,,,Glasser2016+Petre2023_vol_proj
Ctx_TE1m_L,Area TE1 Middle (Left),Ctx_TE1m_L,,,Glasser2016+Petre2023_vol_proj
Ctx_PI_L,Para-Insular Area (Left),Ctx_PI_L,,,Glasser2016+Petre2023_vol_proj
Ctx_a32pr_L,Area anterior 32 prime (Left),Ctx_a32pr_L,,,Glasser2016+Petre2023_vol_proj
Ctx_p24_L,Area posterior 24 (Left),Ctx_p24_L,,,Glasser2016+Petre2023_vol_proj
Ctx_V1_R,Primary visual cortex (Right),Ctx_V1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_MST_R,Medial superior temporal area (Right),Ctx_MST_R,,,Glasser2016+Petre2023_vol_proj
Ctx_V6_R,sixth visual area (Right),Ctx_V6_R,,,Glasser2016+Petre2023_vol_proj
Ctx_V2_R,second visual area (Right),Ctx_V2_R,,,Glasser2016+Petre2023_vol_proj
Ctx_V3_R,third visual area (Right),Ctx_V3_R,,,Glasser2016+Petre2023_vol_proj
Ctx_V4_R,fourth visual area (Right),Ctx_V4_R,,,Glasser2016+Petre2023_vol_proj
Ctx_V8_R,eighth visual area (Right),Ctx_V8_R,,,Glasser2016+Petre2023_vol_proj
Ctx_4_R,primary motor cortex (Right),Ctx_4_R,,,Glasser2016+Petre2023_vol_proj
Ctx_3b_R,primary sensory cortex (Right),Ctx_3b_R,,,Glasser2016+Petre2023_vol_proj
Ctx_FEF_R,frontal eye fields (Right),Ctx_FEF_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PEF_R,premotor eye field (Right),Ctx_PEF_R,,,Glasser2016+Petre2023_vol_proj
Ctx_55b_R,area 55b (Right),Ctx_55b_R,,,Glasser2016+Petre2023_vol_proj
Ctx_V3A_R,area V3A (Right),Ctx_V3A_R,,,Glasser2016+Petre2023_vol_proj
Ctx_RSC_R,RetroSplenial Complex (Right),Ctx_RSC_R,,,Glasser2016+Petre2023_vol_proj
Ctx_POS2_R,Parieto-Occipital Sulcus Area 2 (Right),Ctx_POS2_R,,,Glasser2016+Petre2023_vol_proj
Ctx_V7_R,Seventh Visual Area (Right),Ctx_V7_R,,,Glasser2016+Petre2023_vol_proj
Ctx_IPS1_R,IntraParietal Sulcus Area 1 (Right),Ctx_IPS1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_FFC_R,Fusiform Face Complex (Right),Ctx_FFC_R,,,Glasser2016+Petre2023_vol_proj
Ctx_V3B_R,Area V3B (Right),Ctx_V3B_R,,,Glasser2016+Petre2023_vol_proj
Ctx_LO1_R,Area Lateral Occipital 1 (Right),Ctx_LO1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_LO2_R,Area Lateral Occipital 2 (Right),Ctx_LO2_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PIT_R,Posterior InferoTemporal (Right),Ctx_PIT_R,,,Glasser2016+Petre2023_vol_proj
Ctx_MT_R,Middle Temporal Area (Right),Ctx_MT_R,,,Glasser2016+Petre2023_vol_proj
Ctx_A1_R,Primary Auditory Cortex (Right),Ctx_A1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PSL_R,PeriSylvian Language Area (Right),Ctx_PSL_R,,,Glasser2016+Petre2023_vol_proj
Ctx_SFL_R,Superior Frontal Language Area (Right),Ctx_SFL_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PCV_R,PreCuneus Visual Area (Right),Ctx_PCV_R,,,Glasser2016+Petre2023_vol_proj
Ctx_STV_R,Superior Temporal Visual Area (Right),Ctx_STV_R,,,Glasser2016+Petre2023_vol_proj
Ctx_7Pm_R,Medial Area 7P (Right),Ctx_7Pm_R,,,Glasser2016+Petre2023_vol_proj
Ctx_7m_R,Area 7m (Right),Ctx_7m_R,,,Glasser2016+Petre2023_vol_proj
Ctx_POS1_R,Parieto-Occipital Sulcus Area 1 (Right),Ctx_POS1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_23d_R,Area 23d (Right),Ctx_23d_R,,,Glasser2016+Petre2023_vol_proj
Ctx_v23ab_R,Area ventral 23 a+b (Right),Ctx_v23ab_R,,,Glasser2016+Petre2023_vol_proj
Ctx_d23ab_R,Area dorsal 23 a+ (Right),Ctx_d23ab_R,,,Glasser2016+Petre2023_vol_proj
Ctx_31pv_R,Area 31p ventral (Right),Ctx_31pv_R,,,Glasser2016+Petre2023_vol_proj
Ctx_5m_R,Area 5m (Right),Ctx_5m_R,,,Glasser2016+Petre2023_vol_proj
Ctx_5mv_R,Area 5m ventral (Right),Ctx_5mv_R,,,Glasser2016+Petre2023_vol_proj
Ctx_23c_R,Area 23c (Right),Ctx_23c_R,,,Glasser2016+Petre2023_vol_proj
Ctx_5L_R,Area 5L (Right),Ctx_5L_R,,,Glasser2016+Petre2023_vol_proj
Ctx_24dd_R,Dorsal Area 24d (Right),Ctx_24dd_R,,,Glasser2016+Petre2023_vol_proj
Ctx_24dv_R,Ventral Area 24d (Right),Ctx_24dv_R,,,Glasser2016+Petre2023_vol_proj
Ctx_7AL_R,Lateral Area 7A (Right),Ctx_7AL_R,,,Glasser2016+Petre2023_vol_proj
Ctx_SCEF_R,Supplementary and Cingulate Eye Field (Right),Ctx_SCEF_R,,,Glasser2016+Petre2023_vol_proj
Ctx_6ma_R,Area 6m anterior (Right),Ctx_6ma_R,,,Glasser2016+Petre2023_vol_proj
Ctx_7Am_R,Medial Area 7A (Right),Ctx_7Am_R,,,Glasser2016+Petre2023_vol_proj
Ctx_7PL_R,Lateral Area 7P (Right),Ctx_7PL_R,,,Glasser2016+Petre2023_vol_proj
Ctx_7PC_R,Area 7PC (Right),Ctx_7PC_R,,,Glasser2016+Petre2023_vol_proj
Ctx_LIPv_R,Area Lateral IntraParietal ventral (Right),Ctx_LIPv_R,,,Glasser2016+Petre2023_vol_proj
Ctx_VIP_R,Ventral IntraParietal Complex (Right),Ctx_VIP_R,,,Glasser2016+Petre2023_vol_proj
Ctx_MIP_R,Medial IntraParietal Area (Right),Ctx_MIP_R,,,Glasser2016+Petre2023_vol_proj
Ctx_1_R,Area 1 (Right),Ctx_1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_2_R,Area 2 (Right),Ctx_2_R,,,Glasser2016+Petre2023_vol_proj
Ctx_3a_R,Area 3a (Right),Ctx_3a_R,,,Glasser2016+Petre2023_vol_proj
Ctx_6d_R,Dorsal area 6 (Right),Ctx_6d_R,,,Glasser2016+Petre2023_vol_proj
Ctx_6mp_R,Area 6mp (Right),Ctx_6mp_R,,,Glasser2016+Petre2023_vol_proj
Ctx_6v_R,Ventral Area 6 (Right),Ctx_6v_R,,,Glasser2016+Petre2023_vol_proj
Ctx_p24pr_R,Area Posterior 24 prime (Right),Ctx_p24pr_R,,,Glasser2016+Petre2023_vol_proj
Ctx_33pr_R,Area 33 prime (Right),Ctx_33pr_R,,,Glasser2016+Petre2023_vol_proj
Ctx_a24pr_R,Anterior 24 prime (Right),Ctx_a24pr_R,,,Glasser2016+Petre2023_vol_proj
Ctx_p32pr_R,Area p32 prime (Right),Ctx_p32pr_R,,,Glasser2016+Petre2023_vol_proj
Ctx_a24_R,Area a24 (Right),Ctx_a24_R,,,Glasser2016+Petre2023_vol_proj
Ctx_d32_R,Area dorsal 32 (Right),Ctx_d32_R,,,Glasser2016+Petre2023_vol_proj
Ctx_8BM_R,Area 8BM (Right),Ctx_8BM_R,,,Glasser2016+Petre2023_vol_proj
Ctx_p32_R,Area p32 (Right),Ctx_p32_R,,,Glasser2016+Petre2023_vol_proj
Ctx_10r_R,Area 10r (Right),Ctx_10r_R,,,Glasser2016+Petre2023_vol_proj
Ctx_47m_R,Area 47m (Right),Ctx_47m_R,,,Glasser2016+Petre2023_vol_proj
Ctx_8Av_R,Area 8Av (Right),Ctx_8Av_R,,,Glasser2016+Petre2023_vol_proj
Ctx_8Ad_R,Area 8Ad (Right),Ctx_8Ad_R,,,Glasser2016+Petre2023_vol_proj
Ctx_9m_R,Area 9 Middle (Right),Ctx_9m_R,,,Glasser2016+Petre2023_vol_proj
Ctx_8BL_R,Area 88 Lateral (Right),Ctx_8BL_R,,,Glasser2016+Petre2023_vol_proj
Ctx_9p_R,Area 9 Posterior (Right),Ctx_9p_R,,,Glasser2016+Petre2023_vol_proj
Ctx_10d_R,Area 10d (Right),Ctx_10d_R,,,Glasser2016+Petre2023_vol_proj
