labels,label_descriptions,labels_2,labels_3,labels_4,labels_5
Ctx_LO1_L,Region 20 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_LO2_L,Region 21 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PIT_L,Region 22 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_MT_L,Region 23 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_A1_L,Region 24 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PSL_L,Region 25 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_SFL_L,Region 26 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PCV_L,Region 27 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_STV_L,Region 28 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_7Pm_L,Region 29 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_7m_L,Region 30 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_POS1_L,Region 31 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_23d_L,Region 32 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_v23ab_L,Region 33 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_d23ab_L,Region 34 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_31pv_L,Region 35 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_5m_L,Region 36 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_5mv_L,Region 37 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_23c_L,Region 38 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_5L_L,Region 39 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_24dd_L,Region 40 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_24dv_L,Region 41 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_7AL_L,Region 42 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_SCEF_L,Region 43 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_6ma_L,Region 44 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_7Am_L,Region 45 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_7PL_L,Region 46 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_7PC_L,Region 47 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_LIPv_L,Region 48 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_VIP_L,Region 49 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_MIP_L,Region 50 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_1_L,Region 51 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_2_L,Region 52 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_3a_L,Region 53 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_6d_L,Region 54 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_6mp_L,Region 55 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_6v_L,Region 56 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p24pr_L,Region 57 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_33pr_L,Region 58 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_a24pr_L,Region 59 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p32pr_L,Region 60 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_a24_L,Region 61 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_d32_L,Region 62 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_8BM_L,Region 63 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p32_L,Region 64 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_10r_L,Region 65 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_47m_L,Region 66 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_8Av_L,Region 67 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_8Ad_L,Region 68 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_9m_L,Region 69 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_8BL_L,Region 70 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_9p_L,Region 71 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_10d_L,Region 72 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_8C_L,Region 73 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_44_L,Region 74 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_45_L,Region 75 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_47l_L,Region 76 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_a47r_L,Region 77 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_6r_L,Region 78 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IFJa_L,Region 79 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IFJp_L,Region 80 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IFSp_L,Region 81 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IFSa_L,Region 82 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p9_46v_L,Region 83 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_46_L,Region 84 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_a9_46v_L,Region 85 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_9_46d_L,Region 86 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_9a_L,Region 87 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_10v_L,Region 88 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_a10p_L,Region 89 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_10pp_L,Region 90 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_11l_L,Region 91 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_13l_L,Region 92 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_OFC_L,Region 93 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_47s_L,Region 94 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_LIPd_L,Region 95 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_6a_L,Region 96 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_i6_8_L,Region 97 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_s6_8_L,Region 98 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_43_L,Region 99 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_OP4_L,Region 100 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_OP1_L,Region 101 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_OP2_3_L,Region 102 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_52_L,Region 103 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_RI_L,Region 104 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PFcm_L,Region 105 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PoI2_L,Region 106 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TA2_L,Region 107 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FOP4_L,Region 108 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_MI_L,Region 109 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_Pir_L,Region 110 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_AVI_L,Region 111 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_AAIC_L,Region 112 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FOP1_L,Region 113 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FOP3_L,Region 114 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FOP2_L,Region 115 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PFt_L,Region 116 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_AIP_L,Region 117 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_EC_L,Region 118 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PreS_L,Region 119 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_ProS_L,Region 121 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PeEc_L,Region 122 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_STGa_L,Region 123 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PBelt_L,Region 124 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_A5_L,Region 125 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PHA1_L,Region 126 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PHA3_L,Region 127 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_STSda_L,Region 128 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_STSdp_L,Region 129 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_STSvp_L,Region 130 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TGd_L,Region 131 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TE1a_L,Region 132 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TE1p_L,Region 133 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TE2a_L,Region 134 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TF_L,Region 135 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TE2p_L,Region 136 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PHT_L,Region 137 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PH_L,Region 138 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TPOJ1_L,Region 139 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TPOJ2_L,Region 140 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TPOJ3_L,Region 141 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_DVT_L,Region 142 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PGp_L,Region 143 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IP2_L,Region 144 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IP1_L,Region 145 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IP0_L,Region 146 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PFop_L,Region 147 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PF_L,Region 148 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PFm_L,Region 149 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PGi_L,Region 150 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PGs_L,Region 151 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V6A_L,Region 152 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_VMV1_L,Region 153 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_VMV3_L,Region 154 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PHA2_L,Region 155 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V4t_L,Region 156 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FST_L,Region 157 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V3CD_L,Region 158 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_LO3_L,Region 159 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_VMV2_L,Region 160 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_31pd_L,Region 161 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_31a_L,Region 162 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_VVC_L,Region 163 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_25_L,Region 164 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_s32_L,Region 165 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_pOFC_L,Region 166 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PoI1_L,Region 167 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_Ig_L,Region 168 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FOP5_L,Region 169 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p10p_L,Region 170 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p47r_L,Region 171 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TGv_L,Region 172 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_MBelt_L,Region 173 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_LBelt_L,Region 174 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_A4_L,Region 175 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_STSva_L,Region 176 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TE1m_L,Region 177 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PI_L,Region 178 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_a32pr_L,Region 179 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p24_L,Region 180 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V1_R,Region 181 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_MST_R,Region 182 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V6_R,Region 183 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V2_R,Region 184 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V3_R,Region 185 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V4_R,Region 186 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V8_R,Region 187 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_4_R,Region 188 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_3b_R,Region 189 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FEF_R,Region 190 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PEF_R,Region 191 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_55b_R,Region 192 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V3A_R,Region 193 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_RSC_R,Region 194 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_POS2_R,Region 195 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V7_R,Region 196 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IPS1_R,Region 197 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FFC_R,Region 198 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V3B_R,Region 199 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_LO1_R,Region 200 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_LO2_R,Region 201 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PIT_R,Region 202 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_MT_R,Region 203 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_A1_R,Region 204 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PSL_R,Region 205 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_SFL_R,Region 206 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PCV_R,Region 207 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_STV_R,Region 208 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_7Pm_R,Region 209 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_7m_R,Region 210 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_POS1_R,Region 211 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_23d_R,Region 212 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_v23ab_R,Region 213 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_d23ab_R,Region 214 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_31pv_R,Region 215 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_5m_R,Region 216 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_5mv_R,Region 217 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_23c_R,Region 218 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_5L_R,Region 219 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_24dd_R,Region 220 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_24dv_R,Region 221 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_7AL_R,Region 222 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_SCEF_R,Region 223 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_6ma_R,Region 224 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_7Am_R,Region 225 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_7PL_R,Region 226 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_7PC_R,Region 227 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_LIPv_R,Region 228 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_VIP_R,Region 229 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_MIP_R,Region 230 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_1_R,Region 231 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_2_R,Region 232 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_3a_R,Region 233 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_6d_R,Region 234 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_6mp_R,Region 235 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_6v_R,Region 236 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p24pr_R,Region 237 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_33pr_R,Region 238 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_a24pr_R,Region 239 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p32pr_R,Region 240 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_a24_R,Region 241 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_d32_R,Region 242 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_8BM_R,Region 243 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p32_R,Region 244 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_10r_R,Region 245 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_47m_R,Region 246 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_8Av_R,Region 247 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_8Ad_R,Region 248 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_9m_R,Region 249 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_8BL_R,Region 250 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_9p_R,Region 251 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_10d_R,Region 252 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_8C_R,Region 253 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_44_R,Region 254 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_45_R,Region 255 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_47l_R,Region 256 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_a47r_R,Region 257 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_6r_R,Region 258 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IFJa_R,Region 259 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IFJp_R,Region 260 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IFSp_R,Region 261 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IFSa_R,Region 262 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p9_46v_R,Region 263 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_46_R,Region 264 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_a9_46v_R,Region 265 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_9_46d_R,Region 266 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_9a_R,Region 267 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_10v_R,Region 268 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_a10p_R,Region 269 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
